    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.37203    0.00000        183        111          0    good-0
    4580     random    0.45951    0.00000        869        143          0    good-1
    3860     random    0.00000    0.00000        534        143          0    Not Connected
    6774     random    0.00000    0.00000        753        177          0    Not Connected
    2428     random    0.37203    0.00000        210        113          0    good-2
     130     random    0.23285    0.00000        314        135          0    good-3
    9567     random    0.37203    0.00000        190        117          0    good-4
    7650     random    0.37202    0.00000        366        115          0    good-5
    5567     random    0.37203    0.00000        180        115          0    repeat-0
    2798     random    0.00000    0.00000        390        107          0    Not Connected
    4203     random    0.23284    0.00000        285        121          0    good-6
    5476     random    0.23285    0.00000        323        129          0    repeat-3
    3677     random    0.45964    0.00000        552        145          0    good-7
    4736     random    0.37203    0.00000        237        115          0    repeat-4
    6406     random    0.37203    0.00000        328        115          0    repeat-0
    5547     random    0.37203    0.00000        201        111          0    repeat-0
    4102     random    0.37203    0.00000        216        109          0    repeat-4
    7919     random    0.23284    0.00000        774        127          0    repeat-3
    8991     random    0.00000    0.00000        968        163          0    Not Connected
    6057     random    0.37204    0.00000        180        115          0    repeat-4
    6460     random    0.00000    0.00000        595        179          0    Not Connected
     634     random    0.37203    0.00000        189        111          0    repeat-2
    8702     random    0.37202    0.00000        298        111          0    repeat-4
    7928     random    0.37205    0.00000        237        115          0    repeat-2
    8131     random    0.23284    0.00000        289        133          0    repeat-6
    2252     random    0.23285    0.00000        312        127          0    repeat-3
    9828     random    0.37203    0.00000        247        109          0    repeat-4
    5373     random    0.37203    0.00000        265        111          0    repeat-5
    9871     random    0.23284    0.00000        228        131          0    repeat-6
    6010     random    0.00000    0.00000        512        169          0    Not Connected
     327     random    0.37202    0.00000        341        111          0    repeat-2
    1007     random    0.23285    0.00000        324        131          0    repeat-6
    5731     random    0.23285    0.00000        368        131          0    good-8
    8239     random    0.37202    0.00000        209        113          0    repeat-0
    8362     random    0.00000    0.00000        345        113          0    Not Connected
    8722     random    0.23286    0.00000        310        137          0    good-9
    3846     random    0.37202    0.00000        156        101          0    repeat-0
     539     random    0.37203    0.00000        366        119          0    repeat-0
    4646     random    0.37202    0.00000        234        109          0    repeat-0
    1203     random    0.37203    0.00000        385        111          0    repeat-4
    8449     random    0.37203    0.00000        182        103          0    repeat-4
    6579     random    0.23285    0.00000        286        135          0    repeat-3
    9476     random    0.37203    0.00000        218        117          0    repeat-0
    3937     random    0.37203    0.00000        234        115          0    repeat-2
    8815     random    0.37203    0.00000        407        115          0    repeat-4
    8749     random    0.23285    0.00000        357        131          0    repeat-9
    1392     random    0.00000    0.00000        711        163          0    Not Connected
    1431     random    0.00000    0.00000        708        171          0    Not Connected
      85     random    0.37204    0.00000        215        115          0    repeat-0
    4147     random    0.23283    0.00000        384        121          0    repeat-9
     947     random    0.37203    0.00000        256        105          0    repeat-0
     452     random    0.37203    0.00000        244        117          0    repeat-5
    4540     random    0.00000    0.00000        849        169          0    Not Connected
    4987     random    0.37202    0.00000        239        105          0    repeat-5
    8493     random    0.00000    0.00000        769        151          0    Not Connected
     726     random    0.00000    0.00000        724        173          0    Not Connected
    4345     random    0.37203    0.00000        247        115          0    repeat-5
    9923     random    0.37202    0.00000        262        109          0    repeat-5
    8720     random    0.37202    0.00000        824        105          0    repeat-5
    1829     random    0.37201    0.00000        233        111          0    repeat-4
    6338     random    0.23284    0.00000        263        133          0    repeat-9
    7141     random    0.37203    0.00000        175        117          0    repeat-4
    9034     random    0.37204    0.00000        294        109          0    repeat-2
     231     random    0.00000    0.00000        799        169          0    Not Connected
    6712     random    0.37203    0.00000        584        113          0    repeat-4
    5778     random    0.37202    0.00000        344        103          0    repeat-2
    2970     random    0.00000    0.00000        659        163          0    Not Connected
    7421     random    0.37202    0.00000        194        109          0    repeat-2
    6021     random    0.37200    0.00000        195        105          0    repeat-2
    1463     random    0.23285    0.00000        400        137          0    repeat-9
    3978     random    0.37202    0.00000        401        103          0    repeat-0
    3739     random    0.37202    0.00000        223        103          0    repeat-2
    9386     random    0.37204    0.00000        213        117          0    repeat-4
    9850     random    0.00000    0.00000        658        167          0    Not Connected
    1847     random    0.37204    0.00000        147        115          0    repeat-5
    4673     random    0.23285    0.00000        387        129          0    repeat-9
    6121     random    0.23285    0.00000        397        133          0    repeat-8
    1987     random    0.37203    0.00000        272        117          0    repeat-5
    9856     random    0.37203    0.00000        219        115          0    repeat-5
    2175     random    0.23285    0.00000        333        139          0    repeat-8
    3947     random    0.00000    0.00000        582        163          0    Not Connected
    2775     random    0.37203    0.00000        193        119          0    repeat-5
    1429     random    0.00000    0.00000        960        165          0    Not Connected
    3308     random    0.37203    0.00000        223        115          0    repeat-0
    8672     random    0.37203    0.00000        185        111          0    repeat-5
    2103     random    0.37203    0.00000        184        117          0    repeat-4
    7224     random    0.37202    0.00000        276        109          0    repeat-5
    4676     random    0.37203    0.00000        270        113          0    repeat-0
    6863     random    0.37203    0.00000        199        117          0    repeat-4
      74     random    0.00000    0.00000        763        163          0    Not Connected
    7334     random    0.37203    0.00000        195        109          0    repeat-0
    9490     random    0.00000    0.00000       1050        165          0    Not Connected
    4084     random    0.37203    0.00000        410        113          0    repeat-2
    1249     random    0.37202    0.00000        295        111          0    repeat-5
    2788     random    0.00000    0.00000        773        173          0    Not Connected
    6981     random    0.37204    0.00000        249        113          0    repeat-2
    9947     random    0.23285    0.00000        365        137          0    repeat-6
    5479     random    0.37203    0.00000        143        113          0    repeat-5
    1697     random    0.37201    0.00000        218        109          0    repeat-4
    9524     random    0.37203    0.00000        160        111          0    repeat-0
    3454     random    0.37203    0.00000        187        113          0    repeat-4
    4964     random    0.37202    0.00000        230        113          0    repeat-4
    6822     random    0.37202    0.00000        212        115          0    repeat-5
     775     random    0.37202    0.00000        559        109          0    repeat-4
    4755     random    0.00000    0.00000        573        165          0    Not Connected
    9140     random    0.37203    0.00000        254        115          0    repeat-4
    6294     random    0.00000    0.00000        921        167          0    Not Connected
    7347     random    0.23285    0.00000        493        135          0    repeat-8
    9676     random    0.23284    0.00000        445        127          0    repeat-6
    6537     random    0.37202    0.00000        180        111          0    repeat-4
    6215     random    0.37203    0.00000        213        113          0    repeat-0
    4255     random    0.37200    0.00000        894         99          0    repeat-2
    5181     random    0.23285    0.00000        334        131          0    repeat-6
