    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
       3     random    0.00000    1.05652       5289        292          0    Not Connected
       0     random    0.61954    1.47428       4459        200          0    good-0
       9     random    3.44301    1.26416       1244        568          0    barrier > max_thermal_window
       5     random    0.00000    1.34148       4926        292          0    Not Connected
       1     random    0.98880    1.08357       1749        250          0    good-1
       7     random    0.00000    1.11226       1956        352          0    Not Connected
       8     random    0.61954    1.26614       4301        198          0    repeat-0
       2     random    0.98880    1.23866       1472        245          0    repeat-1
       4     random    3.01093    1.25434       3078        266          0    barrier > max_thermal_window
      14     random    1.51191    1.08982       1067        229          0    good-2
      18     random    0.60106    1.28718       3466        200          0    good-3
      12     random    3.41210    1.48812       1638        356          0    barrier > max_thermal_window
      13     random    0.00000    1.48924       1808        305          0    Not Connected
      17     random    3.44368    1.55364       1363        372          0    barrier > max_thermal_window
      10     random    3.44370    1.37909       1454        367          0    barrier > max_thermal_window
      15     random    4.23411    1.54624       1975        272          0    barrier > max_thermal_window
       6     random    0.00000    1.50893       6210        291          0    Not Connected
      11     random    1.61448    1.43421       3727        256          0    good-4
     220     random    0.00000    1.18405       3196        251          0    Not Connected
    4580     random    0.60106    1.68669       3584        200          0    good-5
    3860     random    1.61547    1.44594       3248        253          0    good-6
    2428     random    0.60106    1.64828       3670        201          0    repeat-5
     130     random    0.98707    1.26957       1727        240          0    good-7
    5567     random    0.98563    1.18232       1380        250          0    good-8
    2798     random    0.98707    0.98607       1704        240          0    good-9
    4203     random    0.60106    1.13482       3566        201          0    repeat-5
    5476     random    2.10616    1.08839       1485        290          0    barrier > max_thermal_window
    3677     random    0.00000    1.79877       2558        268          0    Not Connected
    4736     random    0.98707    1.39608       1596        240          0    repeat-9
    6406     random    0.00000    1.38947       5321        321          0    Not Connected
    5547     random    0.60106    1.90800       3381        199          0    repeat-5
    4102     random    0.61954    1.07658       4374        199          0    repeat-0
    6057     random    1.97791    1.10193       1772        286          0    barrier > max_thermal_window
    6460     random    0.00000    1.55351       5265        291          0    Not Connected
     634     random    0.98707    1.31088       1758        240          0    repeat-7
    2252     random    0.00000    1.28928       6062        460          0    Not Connected
    5373     random    0.98707    1.52497       1632        262          0    repeat-9
    6010     random    0.60106    1.23671       3416        201          0    repeat-5
     327     random    0.60106    1.40872       3467        200          0    repeat-3
    1007     random    0.61954    1.07504       4091        187          0    repeat-0
    5731     random    0.61954    1.51961       4328        187          0    repeat-0
    3846     random    3.45874    1.19860       1218        308          0    barrier > max_thermal_window
     539     random    0.98563    1.50297       1692        250          0    good-10
    4646     random    0.00000    1.30318       5336        321          0    Not Connected
    1203     random    0.00000    1.09170       4994        292          0    Not Connected
    6579     random    1.98029    1.73944       1576        295          0    barrier > max_thermal_window
    3937     random    0.00000    1.25574       5096        292          0    Not Connected
    1392     random    0.00000    1.32532       2027        245          0    Not Connected
    1431     random    0.00000    1.67529       5234        292          0    Not Connected
      85     random    0.98563    1.25266       1629        250          0    repeat-8
    4147     random    0.60106    1.25964       3432        201          0    repeat-3
     947     random    0.98880    1.13789       1721        250          0    good-11
     452     random    0.98563    1.32475       1721        250          0    repeat-8
    4540     random    1.51281    1.56388       1113        244          0    good-12
    4987     random    0.00000    1.48460       5342        319          0    Not Connected
     726     random    0.60106    1.24925       3648        200          0    repeat-5
    4345     random    0.98880    1.30543       1754        250          0    repeat-11
    1829     random    0.00000    1.37486      53300        826          0    Not Connected
    6338     random    0.00000    1.13925       5260        291          0    Not Connected
     231     random    0.00000    1.54446       5075        288          0    Not Connected
    6712     random    0.98707    1.75945       1579        241          0    repeat-9
    5778     random    0.60106    1.27529       3642        199          0    repeat-3
    2970     random    0.60106    1.77369       3593        205          0    repeat-5
    6021     random    1.48295    1.40706       2819        255          0    good-13
    1463     random    3.45931    1.16031       1175        298          0    barrier > max_thermal_window
    3978     random    0.98707    1.20061       1658        241          0    repeat-9
    3739     random    2.10164    1.24238       1480        291          0    barrier > max_thermal_window
    1847     random    3.44370    1.36105       1243        361          0    barrier > max_thermal_window
