    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     333     random    3.21465    0.00000        273        229          0    good-0
     178     random    0.00000    0.00000        638        431          0    Not Connected
     434     random    0.00000    0.00000        287        137          0    Not Connected
     290     random    2.10616    0.00000        287        203          0    good-1
      47     random    1.61630    0.00000        240        201          0    good-2
     260     random    0.00000    0.00000        431        209          0    Not Connected
     206     random    1.51266    0.00000        241        167          0    good-3
       3     random    2.10126    0.00000        292        207          0    good-4
       1     random    0.98880    0.00000        240        187          0    good-5
     276     random    0.98708    0.00000        246        189          0    good-6
     111     random    0.00000    0.00000        450        197          0    Not Connected
     218     random    3.21465    0.00000        304        223          0    barrier > max_thermal_window
     101     random    4.21469    0.00000        213        205          0    barrier > max_thermal_window
      99     random    2.10164    0.00000        291        205          0    good-7
     170     random    2.10164    0.00000        348        217          0    good-8
     384     random    2.10164    0.00000        280        215          0    repeat-7
       8     random    0.98563    0.00000        233        189          0    good-9
     259     random    0.98563    0.00000        253        189          0    good-10
     130     random    1.49328    0.00000        270        205          0    good-11
     246     random    0.00000    0.00000        416        161          0    Not Connected
     128     random    0.00000    0.00000        892        199          0    Not Connected
     230     random    0.98708    0.00000        225        193          0    good-12
     357     random    1.51191    0.00000        215        167          0    good-13
     475     random    5.36174    0.00000        289        403          0    barrier > max_thermal_window
     331     random    1.51191    0.00000        190        167          0    repeat-13
     198     random    0.98880    0.00000        232        187          0    repeat-5
     392     random    0.60107    0.00000        239        151          0    good-14
     449     random    2.10164    0.00000        274        207          0    barrier > max_thermal_window
     474     random    0.00000    0.00000        316        321          0    Not Connected
     163     random    1.51266    0.00000        272        169          0    repeat-3
     436     random    0.00000    0.00000        399        229          0    Not Connected
     366     random    3.96588    0.00000        303        279          0    barrier > max_thermal_window
     482     random    0.00000    0.00000        375        205          0    Not Connected
     222     random    0.00000    0.00000        412        235          0    Not Connected
     296     random    1.51191    0.00000        262        163          0    repeat-13
     102     random    0.98880    0.00000        224        187          0    good-15
     124     random    1.84620    0.00000        354        255          0    barrier > max_thermal_window
      82     random    0.00000    0.00000        328        183          0    Not Connected
      40     random    0.00000    0.00000        968        125          0    Not Connected
     286     random    0.00000    0.00000        427        155          0    Not Connected
     226     random    0.00000    0.00000        279        307          0    Not Connected
     435     random    1.51281    0.00000        239        167          0    good-16
     477     random    2.10616    0.00000        359        195          0    barrier > max_thermal_window
     421     random    1.61547    0.00000        463        207          0    good-17
     453     random    1.51281    0.00000        191        165          0    repeat-16
     161     random    0.60106    0.00000        254        145          0    good-18
     403     random    4.49788    0.00000        384        227          0    barrier > max_thermal_window
     229     random    3.45874    0.00000        229        223          0    barrier > max_thermal_window
     273     random    0.98563    0.00000        222        189          0    repeat-9
     212     random    3.21464    0.00000        285        227          0    barrier > max_thermal_window
     305     random    0.00000    0.00000        405        133          0    Not Connected
     322     random    0.00000    0.00000        791        129          0    Not Connected
