    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.00000    0.00000        451        223          0    Not Connected
    4580     random    1.78686    0.00000        630        289          0    good-0
    3860     random    0.00000    0.00000        515        229          0    Not Connected
    2428     random    0.60106    0.00000        392        161          0    good-1
     130     random    0.98708    0.00000        382        189          0    good-2
    2798     random    0.98707    0.00000        328        193          0    good-3
    4203     random    3.44301    0.00000        375        339          0    barrier > max_thermal_window
    3677     random    0.00000    0.00000        756        197          0    Not Connected
    4736     random    0.98708    0.00000        360        193          0    repeat-3
    4102     random    0.98563    0.00000        356        195          0    good-4
     634     random    0.98708    0.00000        367        193          0    repeat-2
    2252     random    1.51191    0.00000        394        163          0    good-5
     327     random    0.60106    0.00000        411        163          0    good-6
    1007     random    0.61955    0.00000        428        163          0    good-7
    3846     random    3.45874    0.00000        376        219          0    barrier > max_thermal_window
     539     random    1.62350    0.00000        638        233          0    good-8
    4646     random    2.10616    0.00000        490        223          0    barrier > max_thermal_window
    1203     random    2.10164    0.00000        462        213          0    barrier > max_thermal_window
    3937     random    2.10164    0.00000        557        203          0    barrier > max_thermal_window
    1392     random    0.00000    0.00000        685        205          0    Not Connected
    1431     random    2.10126    0.00000        529        213          0    barrier > max_thermal_window
      85     random    1.19558    0.00000        717        223          0    good-9
    4147     random    0.60106    0.00000        346        161          0    repeat-6
     947     random    2.10616    0.00000        581        197          0    barrier > max_thermal_window
     452     random    0.98563    0.00000        350        185          0    good-10
    4540     random    1.51281    0.00000        290        163          0    good-11
    4987     random    0.00000    0.00000        790        223          0    Not Connected
     726     random    0.98708    0.00000        362        191          0    repeat-2
    4345     random    0.00000    0.00000        794        219          0    Not Connected
    1829     random    3.45874    0.00000        827        223          0    barrier > max_thermal_window
     231     random    0.00000    0.00000       1282        349          0    Not Connected
    2970     random    0.00000    0.00000        662        261          0    Not Connected
    1463     random    3.45931    0.00000        410        219          0    barrier > max_thermal_window
    3978     random    1.20702    0.00000        446        225          0    good-12
    3739     random    1.51191    0.00000        264        163          0    repeat-5
    1847     random    0.60106    0.00000        417        157          0    repeat-6
    4673     random    0.00000    0.00000        843        189          0    Not Connected
    1987     random    3.01352    0.00000        395        237          0    barrier > max_thermal_window
    2175     random    4.20341    0.00000        425        209          0    barrier > max_thermal_window
    3947     random    0.60106    0.00000        374        167          0    repeat-6
    2775     random    1.61547    0.00000        527        201          0    good-13
    1429     random    3.21462    0.00000        427        225          0    barrier > max_thermal_window
    3308     random    3.44301    0.00000        526        343          0    barrier > max_thermal_window
    2103     random    0.98880    0.00000        412        193          0    good-14
    4676     random    0.00000    0.00000        588        195          0    Not Connected
      74     random    0.60107    0.00000        428        153          0    repeat-6
    4084     random    0.98880    0.00000        355        193          0    repeat-14
    1249     random    0.98563    0.00000        534        193          0    repeat-4
    2788     random    3.44301    0.00000        405        339          0    barrier > max_thermal_window
    1697     random    1.97791    0.00000        622        283          0    barrier > max_thermal_window
    3454     random    0.60106    0.00000        414        155          0    repeat-6
    4964     random    0.98880    0.00000        373        191          0    good-15
     775     random    4.20361    0.00000        377        203          0    barrier > max_thermal_window
    4755     random    0.00000    0.00000        498        235          0    Not Connected
    4255     random    0.60106    0.00000        360        157          0    repeat-6
    4610     random    2.10126    0.00000        513        211          0    barrier > max_thermal_window
    4632     random    0.61955    0.00000        485        163          0    repeat-7
    3637     random    0.00000    0.00000        827        169          0    Not Connected
    4804     random    0.60106    0.00000        387        163          0    repeat-6
    3694     random    3.44371    0.00000        406        305          0    barrier > max_thermal_window
    4757     random    0.00000    0.00000        581        363          0    Not Connected
    1908     random    3.01243    0.00000        515        229          0    barrier > max_thermal_window
     251     random    1.78686    0.00000        699        279          0    repeat-0
     766     random    0.98563    0.00000        369        193          0    repeat-10
    1189     random    0.60106    0.00000        377        157          0    repeat-6
    1560     random    0.00000    0.00000        652        157          0    Not Connected
    2507     random    1.51266    0.00000        269        161          0    good-16
    2953     random    0.00000    0.00000        520        313          0    Not Connected
    3464     random    0.00000    0.00000        509        167          0    Not Connected
    4038     random    1.98029    0.00000        497        291          0    barrier > max_thermal_window
    1248     random    0.00000    0.00000        851        217          0    Not Connected
     431     random    0.00000    0.00000        696        241          0    Not Connected
    1717     random    0.98708    0.00000        404        195          0    repeat-3
    2312     random    0.00000    0.00000       1186        293          0    Not Connected
    3742     random    1.78686    0.00000        650        275          0    repeat-0
     907     random    1.51266    0.00000        272        165          0    repeat-16
    1993     random    2.10616    0.00000        754        211          0    barrier > max_thermal_window
    3789     random    0.60107    0.00000        386        167          0    repeat-6
    2899     random    0.60106    0.00000        387        167          0    repeat-6
    1755     random    0.60108    0.00000        318        167          0    repeat-6
    1649     random    0.00000    0.00000        625        265          0    Not Connected
    2502     random    0.98879    0.00000        408        189          0    repeat-14
    1425     random    0.98563    0.00000        387        191          0    repeat-4
    4690     random    0.00000    0.00000        574        193          0    Not Connected
    1088     random    2.10616    0.00000        582        207          0    barrier > max_thermal_window
    4717     random    0.00000    0.00000        502        209          0    Not Connected
    2765     random    0.98708    0.00000        421        193          0    repeat-2
    3215     random    2.10616    0.00000        490        193          0    barrier > max_thermal_window
    2121     random    0.00000    0.00000        589        169          0    Not Connected
    3617     random    3.45874    0.00000        266        223          0    barrier > max_thermal_window
    4104     random    2.10616    0.00000        803        209          0    barrier > max_thermal_window
    2044     random    1.51266    0.00000        265        165          0    good-17
    1303     random    0.98563    0.00000        399        195          0    repeat-10
    3881     random    0.61955    0.00000        408        163          0    repeat-7
    3591     random    0.00000    0.00000        634        195          0    Not Connected
     685     random    0.60108    0.00000        360        167          0    repeat-6
    4936     random    0.61955    0.00000        442        163          0    repeat-7
    4801     random    0.60106    0.00000        371        165          0    repeat-6
     322     random    0.61955    0.00000        456        161          0    repeat-7
