    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
   11874     random    0.61954    0.00000        571        137          0    good-0
     220     random    0.00000    0.00000        567        199          0    Not Connected
    4580     random    1.99380    0.00000        807        275          0    barrier > max_thermal_window
    3860     random    1.61548    0.00000        634        211          0    good-1
   12071     random    1.51281    0.00000        354        157          0    good-2
    6774     random    2.10616    0.00000       1001        174          0    barrier > max_thermal_window
    2428     random    0.00000    0.00000       1134        173          0    Not Connected
   12654     random    0.98707    0.00000        404        189          0    good-3
     130     random    1.84803    0.00000        638        276          0    barrier > max_thermal_window
    9567     random    0.98880    0.00000        479        189          0    good-4
    7650     random    1.97791    0.00000        883        260          0    barrier > max_thermal_window
    5567     random    0.98563    0.00000        430        185          0    good-5
    2798     random    0.98708    0.00000        429        185          0    good-6
   13991     random    1.85809    0.00000        592        213          0    barrier > max_thermal_window
   12538     random    4.21469    0.00000        419        198          0    barrier > max_thermal_window
   13106     random    0.00000    0.00000        932        187          0    Not Connected
    4203     random    3.45841    0.00000        484        239          0    barrier > max_thermal_window
   14522     random    0.00000    0.00000        745        179          0    Not Connected
    5476     random    2.10616    0.00000        704        177          0    barrier > max_thermal_window
    3677     random    0.00000    0.00000        923        246          0    Not Connected
   11102     random    1.84620    0.00000        598        277          0    barrier > max_thermal_window
    4736     random    0.98708    0.00000        404        185          0    repeat-6
    6406     random    2.10616    0.00000        733        171          0    barrier > max_thermal_window
   10026     random    0.00000    0.00000        731        167          0    Not Connected
   11446     random    2.10164    0.00000        870        175          0    barrier > max_thermal_window
   10209     random    2.10126    0.00000        707        174          0    barrier > max_thermal_window
   14040     random    0.60106    0.00000        459        141          0    good-7
    5547     random    3.41210    0.00000        891        279          0    barrier > max_thermal_window
   12403     random    0.61955    0.00000        419        138          0    repeat-0
   11884     random    2.10126    0.00000        789        171          0    barrier > max_thermal_window
    4102     random    0.98562    0.00000        408        182          0    good-8
    7919     random    0.00000    0.00000        473        275          0    Not Connected
    8991     random    1.51281    0.00000        354        156          0    repeat-2
   10543     random    0.98880    0.00000        489        189          0    good-9
    6057     random    2.10164    0.00000        804        177          0    barrier > max_thermal_window
    6460     random    1.99380    0.00000       1205        271          0    barrier > max_thermal_window
     634     random    0.61955    0.00000        495        138          0    repeat-0
   14254     random    0.98563    0.00000        465        181          0    repeat-8
   12232     random    1.51266    0.00000        370        158          0    good-10
   14499     random    2.10164    0.00000        718        172          0    barrier > max_thermal_window
