    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
   11874     random    0.00000    0.00000        734        260          0    Not Connected
     220     random    1.51191    0.00000        369        155          0    good-0
    4580     random    0.00000    0.00000       1078        199          0    Not Connected
    3860     random    5.22834    0.00000        404        254          0    barrier > max_thermal_window
   12071     random    3.41051    0.00000        663        261          0    barrier > max_thermal_window
    6774     random    3.41040    0.00000        599        288          0    barrier > max_thermal_window
    2428     random    3.44301    0.00000        447        263          0    barrier > max_thermal_window
   12654     random    0.00000    0.00000       2400        264          0    Not Connected
     130     random    0.61954    0.00000        436        137          0    good-1
    9567     random    1.91824    0.00000        779        327          0    barrier > max_thermal_window
    7650     random    0.00000    0.00000        661        205          0    Not Connected
    5567     random    1.51191    0.00000        313        156          0    good-2
    2798     random    1.51191    0.00000        326        155          0    repeat-2
   13991     random    0.98880    0.00000        529        190          0    good-3
   12538     random    2.10164    0.00000        828        168          0    barrier > max_thermal_window
   13106     random    0.00000    0.00000       1008        192          0    Not Connected
    4203     random    1.78686    0.00000       1349        267          0    good-4
   14522     random    1.84890    0.00000        663        275          0    barrier > max_thermal_window
    5476     random    1.19558    0.00000        530        220          0    good-5
    3677     random    1.98029    0.00000       1300        262          0    barrier > max_thermal_window
   11102     random    0.98708    0.00000        495        182          0    good-6
    4736     random    3.45841    0.00000        409        237          0    barrier > max_thermal_window
    6406     random    1.51191    0.00000        336        161          0    repeat-0
   10026     random    0.00000    0.00000       1151        345          0    Not Connected
   11446     random    0.98708    0.00000        461        186          0    repeat-6
   10209     random    1.51281    0.00000        486        165          0    good-7
   14040     random    0.00000    0.00000        542        184          0    Not Connected
    5547     random    0.60106    0.00000        429        143          0    good-8
   12403     random    0.00000    0.00000        924        207          0    Not Connected
   11884     random    0.00000    0.00000       1350        253          0    Not Connected
    4102     random    2.10616    0.00000        730        175          0    barrier > max_thermal_window
    7919     random    0.00000    0.00000        599        162          0    Not Connected
    8991     random    0.00000    0.00000        642        255          0    Not Connected
   10543     random    0.00000    0.00000        594        185          0    Not Connected
    6057     random    0.98562    0.00000        592        186          0    good-9
    6460     random    0.98880    0.00000        476        190          0    good-10
     634     random    0.00000    0.00000       1601        164          0    Not Connected
   14254     random    3.45841    0.00000        643        240          0    barrier > max_thermal_window
   12232     random    0.60106    0.00000        471        148          0    good-11
   14499     random    0.98563    0.00000        433        181          0    good-12
    8702     random    0.00000    0.00000       1575        256          0    Not Connected
   12713     random    0.00000    0.00000        618        183          0    Not Connected
    7928     random    1.48295    0.00000        582        192          0    good-13
    8131     random    0.98880    0.00000        398        185          0    repeat-3
    2252     random    4.21469    0.00000        592        198          0    barrier > max_thermal_window
    9828     random    2.10616    0.00000        972        181          0    barrier > max_thermal_window
    5373     random    1.51266    0.00000        341        157          0    good-14
    9871     random    0.98707    0.00000        483        187          0    repeat-6
    6010     random    0.00000    0.00000       1229        261          0    Not Connected
   14930     random    3.44301    0.00000        454        266          0    barrier > max_thermal_window
   12633     random    1.99380    0.00000        613        273          0    barrier > max_thermal_window
     327     random    2.10616    0.00000        647        189          0    barrier > max_thermal_window
   14884     random    3.45841    0.00000        452        239          0    barrier > max_thermal_window
   13477     random    0.98880    0.00000        461        189          0    repeat-3
   14594     random    1.48013    0.00000        699        196          0    good-15
    1007     random    1.85809    0.00000        949        211          0    barrier > max_thermal_window
    5731     random    0.00000    0.00000       1645        269          0    Not Connected
    8239     random    0.00000    0.00000        840        217          0    Not Connected
   10328     random    0.60106    0.00000        463        145          0    repeat-8
   14022     random    0.00000    0.00000       1573        110          0    Not Connected
   13592     random    1.97791    0.00000       1719        263          0    barrier > max_thermal_window
    8362     random    0.00000    0.00000        811        242          0    Not Connected
   13455     random    2.10126    0.00000        672        172          0    barrier > max_thermal_window
    8722     random    1.78820    0.00000        770        280          0    good-16
    3846     random    0.00000    0.00000        710        261          0    Not Connected
     539     random    0.60106    0.00000        598        144          0    repeat-11
    4646     random    0.00000    0.00000       1385        252          0    Not Connected
    1203     random    0.98563    0.00000        533        182          0    repeat-9
