    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.60106    0.00000        436        157          0    good-0
    4580     random    0.00000    0.00000        744        269          0    Not Connected
    3860     random    0.00000    0.00000        398        155          0    Not Connected
    2428     random    0.60106    0.00000        370        165          0    good-1
     130     random    0.98707    0.00000        335        191          0    good-2
    2798     random    0.98708    0.00000        300        189          0    good-3
    4203     random    3.44301    0.00000        423        339          0    barrier > max_thermal_window
    3677     random    0.00000    0.00000        404        153          0    Not Connected
    4736     random    0.98708    0.00000        326        195          0    repeat-3
    4102     random    0.98563    0.00000        306        191          0    good-4
     634     random    0.98708    0.00000        382        195          0    repeat-2
    2252     random    0.00000    0.00000        668        195          0    Not Connected
     327     random    0.60106    0.00000        382        165          0    repeat-0
    1007     random    0.61955    0.00000        370        163          0    good-5
    3846     random    3.41040    0.00000        474        335          0    barrier > max_thermal_window
     539     random    0.98563    0.00000        310        187          0    repeat-4
    4646     random    2.10616    0.00000        570        211          0    barrier > max_thermal_window
    1203     random    0.00000    0.00000        696        261          0    Not Connected
    3937     random    0.00000    0.00000       1170        387          0    Not Connected
    1392     random    0.98563    0.00000        358        191          0    good-6
    1431     random    2.10126    0.00000        490        207          0    barrier > max_thermal_window
      85     random    1.19558    0.00000        592        223          0    good-7
    4147     random    0.60106    0.00000        367        165          0    repeat-0
     947     random    2.10617    0.00000        526        223          0    barrier > max_thermal_window
     452     random    0.98563    0.00000        299        189          0    repeat-6
    4540     random    1.51281    0.00000        295        165          0    good-8
    4987     random    0.00000    0.00000        668        269          0    Not Connected
     726     random    0.98708    0.00000        367        193          0    repeat-2
    4345     random    0.00000    0.00000       1042        245          0    Not Connected
    1829     random    0.00000    0.00000       1125        363          0    Not Connected
     231     random    2.15131    0.00000        963        297          0    barrier > max_thermal_window
    2970     random    1.19648    0.00000        826        221          0    good-9
    1463     random    3.45931    0.00000        559        219          0    barrier > max_thermal_window
    3978     random    0.98707    0.00000        508        193          0    repeat-3
