    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
   11874     random    0.61955    0.00000        378        165          0    good-0
     220     random    0.60106    0.00000        419        163          0    good-1
    4580     random    0.00000    0.00000       1045        261          0    Not Connected
    3860     random    0.00000    0.00000        412        157          0    Not Connected
   12071     random    1.51281    0.00000        295        167          0    good-2
    6774     random    0.60106    0.00000        390        163          0    repeat-1
    2428     random    0.60106    0.00000        370        165          0    good-3
   12654     random    0.98707    0.00000        387        191          0    good-4
     130     random    0.98707    0.00000        335        191          0    repeat-4
    9567     random    0.60106    0.00000        367        163          0    repeat-3
    7650     random    0.00000    0.00000        487        163          0    Not Connected
    5567     random    0.98563    0.00000        348        191          0    good-5
    2798     random    0.98708    0.00000        300        189          0    good-6
   13991     random    0.00000    0.00000       1005        279          0    Not Connected
   12538     random    4.21469    0.00000        329        199          0    barrier > max_thermal_window
   13106     random    0.00000    0.00000        847        255          0    Not Connected
    4203     random    3.44301    0.00000        328        339          0    barrier > max_thermal_window
   14522     random    0.00000    0.00000        761        217          0    Not Connected
    5476     random    2.10616    0.00000        480        201          0    barrier > max_thermal_window
    3677     random    0.00000    0.00000        582        269          0    Not Connected
   11102     random    0.00000    0.00000        614        225          0    Not Connected
    4736     random    0.98708    0.00000        326        195          0    repeat-6
    6406     random    1.62470    0.00000       1015        229          0    good-7
   10026     random    0.61955    0.00000        409        165          0    repeat-0
   11446     random    0.00000    0.00000        726        255          0    Not Connected
   10209     random    0.00000    0.00000        859        257          0    Not Connected
   14040     random    0.60107    0.00000        387        165          0    repeat-3
    5547     random    0.60106    0.00000        310        163          0    repeat-3
   12403     random    0.61955    0.00000        394        165          0    repeat-0
   11884     random    2.10126    0.00000        581        211          0    barrier > max_thermal_window
    4102     random    0.98563    0.00000        306        191          0    good-8
    7919     random    0.61954    0.00000        411        163          0    repeat-0
    8991     random    0.00000    0.00000        623        217          0    Not Connected
   10543     random    0.98880    0.00000        557        195          0    good-9
    6057     random    0.00000    0.00000        760        255          0    Not Connected
    6460     random    2.10126    0.00000        440        207          0    barrier > max_thermal_window
     634     random    0.98707    0.00000        304        191          0    repeat-4
   14254     random    0.98563    0.00000        371        191          0    repeat-8
   12232     random    1.51266    0.00000        225        163          0    good-10
   14499     random    0.60106    0.00000        350        155          0    repeat-3
    8702     random    1.61547    0.00000        449        203          0    good-11
   12713     random    0.00000    0.00000        316        191          0    Not Connected
    7928     random    0.60106    0.00000        339        155          0    repeat-1
    8131     random    2.10164    0.00000        703        209          0    barrier > max_thermal_window
    2252     random    0.00000    0.00000        737        193          0    Not Connected
    9828     random    3.45874    0.00000        463        221          0    barrier > max_thermal_window
    5373     random    0.98707    0.00000        357        193          0    repeat-6
    9871     random    0.00000    0.00000        870        225          0    Not Connected
    6010     random    0.00000    0.00000        580        269          0    Not Connected
   14930     random    2.10126    0.00000        526        213          0    barrier > max_thermal_window
   12633     random    0.61954    0.00000        490        163          0    repeat-0
     327     random    0.98880    0.00000        515        195          0    repeat-9
   14884     random    0.60106    0.00000        407        165          0    repeat-1
