    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.60108    1.18405       2808        197          0    good-0
     130     random    0.98708    1.26957       3337        234          0    good-1
     634     random    0.98708    1.31088       2355        234          0    repeat-1
     327     random    0.98880    1.40872       2683        244          0    good-2
     539     random    4.21471    1.50297       2627        270          0    barrier > max_thermal_window
      85     random    2.10616    1.25266       3732        289          0    barrier > max_thermal_window
     947     random    1.19558    1.13789       3904        261          0    good-3
     452     random    0.98563    1.32475       1198        250          0    good-4
     726     random    0.98707    1.24925       3446        231          0    repeat-1
     231     random    1.19647    1.54446       3784        262          0    good-5
      74     random    0.98879    1.44500       1093        259          0    repeat-2
     775     random    4.20363    1.10840       1999        261          0    barrier > max_thermal_window
     251     random    2.08537    1.24242       2765        316          0    barrier > max_thermal_window
     766     random    0.98563    1.36465       1590        250          0    repeat-4
     431     random    0.61954    1.38251       1728        209          0    good-6
     907     random    1.51267    1.50089       1732        235          0    good-7
     685     random    0.60108    1.03859       2998        197          0    repeat-0
     322     random    0.98879    1.51868       3985        252          0    good-8
     694     random    3.45841    1.49028       2074        290          0    barrier > max_thermal_window
      67     random    3.44301    1.34939       3418        565          0    barrier > max_thermal_window
     638     random    0.60108    1.26128       4287        197          0    good-9
     879     random    1.19647    1.41510       4496        262          0    repeat-5
     840     random    0.60108    1.19151       2937        197          0    repeat-0
     459     random    3.44371    1.45985       3004        374          0    barrier > max_thermal_window
     898     random    0.61954    1.39267       2652        206          0    repeat-6
     968     random    0.60109    1.21692       1495        197          0    repeat-0
     365     random    1.48056    1.41704       2285        238          0    good-10
     695     random    2.10126    1.41665       3283        284          0    barrier > max_thermal_window
      92     random    0.61954    1.49843       2179        210          0    repeat-6
     733     random    3.21427    1.56324       3797        282          0    barrier > max_thermal_window
     253     random    4.21471    1.56524       2115        274          0    barrier > max_thermal_window
     524     random    3.21427    1.66657       3249        295          0    barrier > max_thermal_window
      30     random    0.61954    1.45386       4410        209          0    repeat-6
     761     random    0.60108    1.36013       1215        197          0    repeat-0
     451     random    0.60108    1.52116       3915        197          0    repeat-9
     392     random    0.61954    1.29219       8746        210          0    repeat-6
     965     random    1.19647    1.30099       4213        262          0    repeat-5
     197     random    1.20702    1.12093       3846        269          0    good-11
     611     random    3.41210    1.56725       3772        369          0    barrier > max_thermal_window
     470     random    0.61958    1.28665       4950        205          0    repeat-6
     145     random    0.60108    1.39156       1782        197          0    repeat-9
     945     random    0.00000    1.23685       3339        256          0    Not Connected
     660     random    3.41040    1.18851       3523        568          0    barrier > max_thermal_window
     138     random    0.61954    1.29100       3743        209          0    repeat-6
     179     random    0.98880    1.51381       2135        244          0    repeat-8
     509     random    1.19647    1.21191       4858        262          0    good-12
      25     random    3.45874    1.42583       2386        308          0    barrier > max_thermal_window
     498     random    0.61954    1.54740       2908        206          0    repeat-6
     192     random    0.60108    0.89919       2983        197          0    repeat-9
     614     random    0.98563    1.52604       3052        260          0    good-13
     161     random    2.18131    1.59331       3704        260          0    barrier > max_thermal_window
     184     random    1.51267    1.08050       1662        235          0    repeat-7
     422     random    4.19839    1.29382       4102        344          0    barrier > max_thermal_window
     774     random    0.00000    2.02638       3241        256          0    Not Connected
     195     random    1.51191    1.58615       1891        262          0    good-14
      90     random    0.61956    1.33217       1484        210          0    repeat-6
     437     random    3.45875    1.30313       4763        286          0    barrier > max_thermal_window
     900     random    0.98707    1.36017       3601        277          0    repeat-1
     518     random    0.98880    1.40395       1384        252          0    repeat-2
     709     random    0.98708    1.36506       3403        234          0    repeat-1
     209     random    0.00000    1.52772       5012        267          0    Not Connected
      87     random    1.51191    1.08625       1760        256          0    good-15
     661     random    0.98879    1.18496       1461        257          0    repeat-8
     535     random    1.97791    0.95883       4293        307          0    barrier > max_thermal_window
      56     random    1.19558    1.21403       3464        261          0    good-16
     888     random    1.51192    1.36504       1163        237          0    repeat-14
     534     random    3.21427    1.25723       2118        277          0    barrier > max_thermal_window
     675     random    0.98707    1.30211       5740        271          0    good-17
     699     random    0.60108    1.14303       1732        197          0    repeat-0
     299     random    0.00000    1.47203       5179        256          0    Not Connected
     445     random    0.60108    1.30377       2642        197          0    repeat-0
     528     random    0.60108    1.33555       1836        197          0    repeat-0
     782     random    0.98707    1.73819       4387        260          0    repeat-1
     677     random    3.44301    1.36795       2986        555          0    barrier > max_thermal_window
     348     random    3.41210    1.49151       2524        384          0    barrier > max_thermal_window
     133     random    0.60109    1.57296       3431        197          0    repeat-0
     330     random    0.98707    1.40869       5856        255          0    repeat-17
     893     random    1.51266    1.73222       1605        281          0    repeat-7
     154     random    0.60108    1.46079       1573        197          0    repeat-9
     114     random    1.49328    1.32417       1271        270          0    good-18
     730     random    0.98708    1.70668       2962        234          0    repeat-1
     527     random    0.98707    1.52880       4216        266          0    repeat-17
     854     random    2.10164    1.52567       2693        282          0    barrier > max_thermal_window
     604     random    0.60109    1.05000       2733        197          0    repeat-9
     511     random    4.20363    1.47109       1749        261          0    barrier > max_thermal_window
     469     random    1.19647    1.39054       4085        262          0    repeat-5
     889     random    0.98707    1.69016       2282        238          0    repeat-17
      14     random    1.51191    1.08982       1814        254          0    repeat-14
     553     random    1.51191    1.46555       2311        266          0    repeat-15
      82     random    3.69955    1.22302       3058        282          0    barrier > max_thermal_window
     285     random    0.60109    1.19047       1624        197          0    repeat-9
     246     random    4.20343    1.13841       1554        282          0    barrier > max_thermal_window
     636     random    3.44301    1.15360       3927        593          0    barrier > max_thermal_window
     980     random    1.19647    1.42251       3539        262          0    repeat-12
     667     random    0.98880    1.44153       3591        244          0    repeat-8
     377     random    0.60108    1.46887       1668        197          0    repeat-9
     296     random    0.61954    1.54582       3075        209          0    repeat-6
     909     random    2.10617    1.45342       3915        344          0    barrier > max_thermal_window
      53     random    4.20343    1.62071       1642        282          0    barrier > max_thermal_window
     168     random    4.20341    1.56254       3209        267          0    barrier > max_thermal_window
     595     random    0.98707    0.84560       3616        260          0    repeat-17
     934     random    0.60108    1.38972       1721        197          0    repeat-0
     582     random    4.19347    1.58085       2929        315          0    barrier > max_thermal_window
     222     random    3.01243    1.57914       3478        281          0    barrier > max_thermal_window
     659     random    0.98563    1.35408       2444        237          0    repeat-13
     865     random    1.19558    1.39308       4220        261          0    repeat-3
     143     random    2.10616    1.17201       2664        289          0    barrier > max_thermal_window
     584     random    0.98563    1.34725       4440        237          0    repeat-13
     748     random    1.51281    1.54486       3386        243          0    good-19
     778     random    4.20342    1.33911       1610        281          0    barrier > max_thermal_window
     548     random    0.98563    1.17998       4689        237          0    repeat-4
     848     random    1.51192    1.30950       2089        229          0    repeat-15
     592     random    0.98563    1.43269       1934        237          0    repeat-4
     181     random    1.20702    1.71112       3838        269          0    good-20
     770     random    1.51192    1.29493       2464        229          0    repeat-15
     447     random    3.44371    1.76004       3261        398          0    barrier > max_thermal_window
     263     random    3.69958    1.57339       3111        294          0    barrier > max_thermal_window
     805     random    1.62571    1.15488       8045        269          0    good-21
     610     random    1.51191    1.41165       2642        274          0    repeat-15
     129     random    1.51267    1.59075       1513        235          0    repeat-7
     576     random    1.51281    1.28174       2807        265          0    repeat-19
     768     random    1.51192    1.10762       2371        229          0    repeat-15
     978     random    0.00000    1.00796        111        251          0    Not Connected
     440     random    3.41052    1.41107       3631        356          0    barrier > max_thermal_window
     673     random    1.51191    1.38641       1562        255          0    repeat-14
     159     random    3.01243    1.03791       4096        295          0    barrier > max_thermal_window
      96     random    1.19558    1.43287       4415        261          0    repeat-16
     137     random    0.60108    1.00453       1777        197          0    repeat-0
     416     random    0.60109    1.18969       1631        197          0    repeat-9
     649     random    1.51281    1.09300       1617        267          0    repeat-19
     727     random    0.98563    1.28457       3212        272          0    repeat-13
     732     random    1.51192    1.27686       1785        229          0    repeat-15
       3     random    1.20702    1.05652       3957        269          0    repeat-20
     276     random    0.98707    1.40102       3766        234          0    repeat-17
     743     random    1.20702    1.24896       3792        269          0    repeat-11
     370     random    0.00000    1.36019       3999        268          0    Not Connected
     643     random    1.51267    1.41502       2294        235          0    repeat-7
     974     random    0.98880    1.37410       1522        253          0    repeat-2
      47     random    0.60108    0.97891       3319        197          0    repeat-0
       0     random    0.98563    1.47428       2092        237          0    repeat-13
     490     random    3.45841    1.04361       3727        372          0    barrier > max_thermal_window
     894     random    0.60108    1.54783       1932        197          0    repeat-9
     847     random    0.98563    1.23661       2416        237          0    repeat-4
     255     random    0.98563    1.30642       3468        257          0    repeat-4
     920     random    0.60108    1.06520       2748        197          0    repeat-0
     875     random    2.10616    1.40230       5205        287          0    barrier > max_thermal_window
     166     random    4.21471    1.06072       1798        274          0    barrier > max_thermal_window
     933     random    0.61954    1.24956       2312        209          0    repeat-6
     442     random    1.51192    1.42506       2657        229          0    repeat-15
     725     random    0.61954    1.29920       1594        209          0    repeat-6
     622     random    1.49141    1.72129       4222        321          0    good-22
     351     random    1.49349    1.28752       3508        291          0    good-23
