    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.00000    1.18405       3350        294          0    Not Connected
    4580     random    0.00000    1.68669       5324        300          0    Not Connected
    3860     random    0.00000    1.44594       2397        264          0    Not Connected
    2428     random    1.51281    1.64828       1036        244          0    good-0
     130     random    0.98707    1.26957       1403        240          0    good-1
    5567     random    0.98563    1.18232       1538        250          0    good-2
    2798     random    0.98707    0.98607       1516        241          0    good-3
    4203     random    0.00000    1.13482       2203        261          0    Not Connected
    5476     random    0.00000    1.08839       5727        313          0    Not Connected
    3677     random    0.00000    1.79877       1729        236          0    Not Connected
    4736     random    0.98707    1.39608       1578        260          0    repeat-3
    5547     random    0.60106    1.90800       3171        201          0    good-4
    4102     random    0.98563    1.07658       1696        250          0    good-5
     634     random    0.00000    1.31088       2838        266          0    Not Connected
    2252     random    0.00000    1.28928       5256        446          0    Not Connected
    5373     random    0.98707    1.52497       1541        260          0    repeat-3
     327     random    0.98880    1.40872       1624        250          0    good-6
    1007     random    0.00000    1.07504       1328        246          0    Not Connected
    5731     random    0.00000    1.51961       2281        269          0    Not Connected
    3846     random    3.45874    1.19860       1025        317          0    barrier > max_thermal_window
     539     random    0.00000    1.50297       1993        316          0    Not Connected
    4646     random    0.00000    1.30318       5618        313          0    Not Connected
    1203     random    0.00000    1.09170       5371        299          0    Not Connected
    3937     random    0.00000    1.25574       2334        327          0    Not Connected
    1392     random    0.00000    1.32532       2502        241          0    Not Connected
    1431     random    0.00000    1.67529       2640        416          0    Not Connected
      85     random    0.00000    1.25266       3099        229          0    Not Connected
    4147     random    0.00000    1.25964       6510        272          0    Not Connected
     947     random    0.00000    1.13789       5790        313          0    Not Connected
     452     random    0.98563    1.32475       1205        255          0    repeat-2
    4540     random    1.51281    1.56388       1104        239          0    repeat-0
    4987     random    0.00000    1.48460       1214        239          0    Not Connected
     726     random    0.98707    1.24925       1625        240          0    repeat-1
    4345     random    0.98880    1.30543       1582        263          0    good-7
     231     random    0.00000    1.54446       5383        300          0    Not Connected
    5778     random    0.00000    1.27529       2082        261          0    Not Connected
    2970     random    0.98707    1.77369       1633        262          0    repeat-1
    1463     random    3.45931    1.16031       1036        282          0    barrier > max_thermal_window
    3978     random    0.00000    1.20061       5979        354          0    Not Connected
    3739     random    2.18131    1.24238       1183        271          0    barrier > max_thermal_window
