2012-09-04 17:40:57 INFO:pr:simulation time is 0.000000e+00
2012-09-04 17:40:57 WARNING:statelist:state list path does not exist, creating .//states/
2012-09-04 17:40:57 INFO:pr:registering results
2012-09-04 17:40:57 INFO:pr:0 (result) searches processed
2012-09-04 17:40:57 INFO:pr:time in current state is 0.000000e+00
2012-09-04 17:40:57 INFO:pr:0 searches in the queue
2012-09-04 17:40:57 INFO:pr:making 400 searches
2012-09-04 17:41:08 INFO:pr:400 searches created
2012-09-05 09:31:02 INFO:pr:simulation time is 0.000000e+00
2012-09-05 09:31:02 INFO:pr:registering results
2012-09-05 09:31:05 INFO:pr:found transition with time 8.700e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 1.610e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 3.600e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 2.600e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 1.890e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 9.500e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 5.960e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 3.200e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 1.150e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 6.200e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 2.270e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 7.400e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 9.700e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 2.150e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 3.100e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 7.100e-12
2012-09-05 09:31:05 INFO:pr:found transition with time 1.410e-11
2012-09-05 09:31:05 INFO:pr:found transition with time 1.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 8.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.300e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.500e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.630e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.480e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.310e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.210e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.250e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.250e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.920e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.140e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 7.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.340e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.220e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.150e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.260e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 9.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.310e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.200e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.670e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.340e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.010e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 8.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.640e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.240e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 9.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.200e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.520e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 7.530e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 6.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 6.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 7.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.900e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 9.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 7.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.570e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.590e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 6.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.170e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.980e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.620e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 9.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.260e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 7.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.210e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 6.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.720e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.550e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.070e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.220e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 7.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.630e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.910e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.130e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.950e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 6.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.070e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 7.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 7.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.000e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.830e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.800e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.120e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.800e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 2.540e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 8.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.100e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 8.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.800e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 8.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.350e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.500e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.190e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 7.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.380e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.220e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.300e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 9.200e-12
