    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.37203    0.00000        163        111          0    good-0
    2428     random    0.37203    0.00000        216        105          0    good-1
     130     random    0.37203    0.00000        319        113          0    repeat-1
    2798     random    0.37203    0.00000        287        121          0    repeat-1
     634     random    0.00000    0.00000       1085        173          0    Not Connected
    2252     random    0.00000    0.00000       1065        165          0    Not Connected
     327     random    0.23284    0.00000        323        129          0    good-2
    1007     random    0.00000    0.00000        848        157          0    Not Connected
     539     random    0.37203    0.00000        339        113          0    good-3
    1203     random    0.37203    0.00000        215        107          0    repeat-3
    1392     random    0.23285    0.00000        314        133          0    repeat-2
    1431     random    0.23285    0.00000        319        139          0    good-4
      85     random    0.23285    0.00000        581        137          0    good-5
     947     random    0.00000    0.00000       1598        169          0    Not Connected
     452     random    0.37203    0.00000        260        113          0    good-6
     726     random    0.00000    0.00000        937        159          0    Not Connected
    1829     random    0.37203    0.00000        212        115          0    repeat-3
     231     random    0.23284    0.00000        366        133          0    repeat-4
    2970     random    0.37203    0.00000        184        111          0    repeat-0
    1463     random    0.37203    0.00000        294        113          0    repeat-0
    1847     random    0.00000    0.00000        955        179          0    Not Connected
    1987     random    0.23284    0.00000        323        133          0    good-7
    2175     random    0.23285    0.00000        420        127          0    repeat-5
    2775     random    0.37203    0.00000        318        107          0    repeat-1
    1429     random    0.37203    0.00000        194        111          0    repeat-0
    2103     random    0.00000    0.00000        883        165          0    Not Connected
      74     random    0.37203    0.00000        214        115          0    repeat-6
    1249     random    0.37203    0.00000        216        113          0    repeat-3
    2788     random    0.45953    0.00000        684        141          0    good-8
    1697     random    0.00000    0.00000        602        111          0    Not Connected
     775     random    0.37202    0.00000        223        113          0    repeat-6
    1908     random    0.23285    0.00000        417        137          0    repeat-5
     251     random    0.23285    0.00000        237        131          0    repeat-5
     766     random    0.37203    0.00000        243        109          0    repeat-0
    1189     random    0.37200    0.00000        307        103          0    repeat-3
    1560     random    0.37203    0.00000        207        111          0    repeat-1
    2507     random    0.37201    0.00000        256        113          0    repeat-6
    2953     random    0.37205    0.00000        185        111          0    repeat-1
    1248     random    0.00000    0.00000       1152        163          0    Not Connected
     431     random    0.00000    0.00000        967        157          0    Not Connected
    1717     random    0.37203    0.00000        261        113          0    repeat-3
    2312     random    0.37203    0.00000        178        117          0    repeat-6
     907     random    0.23284    0.00000        346        125          0    repeat-4
    1993     random    0.37204    0.00000        197        121          0    repeat-1
    2899     random    0.37202    0.00000        229         99          0    repeat-1
    1755     random    0.00000    0.00000        863        145          0    Not Connected
    1649     random    0.37203    0.00000        253        103          0    repeat-3
    2502     random    0.00000    0.00000       1362        113          0    Not Connected
    1425     random    0.37202    0.00000        249        103          0    repeat-3
    1088     random    0.37204    0.00000        191        117          0    repeat-0
    2765     random    0.37203    0.00000        247        111          0    repeat-3
    2121     random    0.23284    0.00000        268        131          0    repeat-2
    2044     random    0.37203    0.00000        183        117          0    repeat-6
    1303     random    0.37202    0.00000        348        111          0    repeat-3
     685     random    0.37203    0.00000        178        107          0    repeat-1
     322     random    0.37201    0.00000        261        105          0    repeat-1
    1672     random    0.23285    0.00000        233        123          0    repeat-2
     694     random    0.37201    0.00000        205        111          0    repeat-0
    2413     random    0.37205    0.00000        227        115          0    repeat-0
      67     random    0.45953    0.00000        672        143          0    good-9
    2527     random    0.37203    0.00000        210        117          0    repeat-0
    1269     random    0.00000    0.00000       1153        167          0    Not Connected
    1366     random    0.37202    0.00000        249        115          0    repeat-1
    2431     random    0.23284    0.00000        330        127          0    repeat-4
     638     random    0.45951    0.00000        741        137          0    good-10
    1413     random    0.37204    0.00000        328        115          0    repeat-3
    2677     random    0.37202    0.00000        759        109          0    repeat-1
     879     random    0.37202    0.00000        386        111          0    repeat-3
     840     random    0.23284    0.00000        425        125          0    repeat-2
     459     random    0.37200    0.00000        233        105          0    repeat-3
    2069     random    0.00000    0.00000       1174        171          0    Not Connected
    1383     random    0.45952    0.00000        778        145          0    good-11
    1890     random    0.00000    0.00000        257        115          0    Not Connected
     898     random    0.37202    0.00000        297        113          0    repeat-1
    1172     random    0.37203    0.00000        201        111          0    repeat-3
    1049     random    0.23285    0.00000        591        137          0    repeat-5
     968     random    0.37204    0.00000        275        115          0    repeat-1
     365     random    0.37204    0.00000        242        113          0    repeat-3
     695     random    0.00000    0.00000       1178        169          0    Not Connected
    2880     random    0.37203    0.00000        398        113          0    repeat-3
      92     random    0.37203    0.00000        227        109          0    repeat-6
    2466     random    0.37203    0.00000        259        113          0    repeat-1
    2958     random    0.37203    0.00000        225        117          0    repeat-6
     733     random    0.23284    0.00000        353        127          0    repeat-7
    2665     random    0.23284    0.00000        566        127          0    repeat-2
    1524     random    0.23285    0.00000        518        129          0    repeat-4
    2072     random    0.37202    0.00000        237        111          0    repeat-3
    1590     random    0.00000    0.00000        929        167          0    Not Connected
     253     random    0.23284    0.00000        359        125          0    repeat-4
    2251     random    0.23283    0.00000        405        125          0    repeat-5
     524     random    0.37202    0.00000        311         97          0    repeat-6
      30     random    0.00000    0.00000        542        171          0    Not Connected
    1417     random    0.37204    0.00000        242        113          0    repeat-1
    2667     random    0.45950    0.00000       1234        141          0    repeat-10
     761     random    0.37203    0.00000        220        113          0    repeat-3
