    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.98563    0.00000        321        152          0    good-0
    4580     random    0.60106    0.00000        332        117          0    good-1
    3860     random    1.19647    0.00000        771        176          0    good-2
    2428     random    3.45931    0.00000        318        235          0    barrier > max_thermal_window
     130     random    1.51282    0.00000        233        152          0    good-3
    2798     random    4.24426    0.00000        345        129          0    barrier > max_thermal_window
    4203     random    0.60106    0.00000        344        126          0    repeat-1
    3677     random    0.98880    0.00000        329        165          0    good-4
    4736     random    3.41051    0.00000        262        513          0    barrier > max_thermal_window
    4102     random    0.60106    0.00000        303        125          0    repeat-1
     634     random    0.98880    0.00000        402        161          0    repeat-4
    2252     random    0.98708    0.00000        294        165          0    good-5
     327     random    0.98880    0.00000        389        163          0    repeat-4
    1007     random    3.44367    0.00000        295        429          0    barrier > max_thermal_window
    3846     random    1.61548    0.00000        511        136          0    good-6
     539     random    0.98880    0.00000        480        153          0    good-7
    4646     random    0.00000    0.00000       1172        284          0    Not Connected
    1203     random    0.98880    0.00000        381        164          0    repeat-4
    3937     random    1.51281    0.00000        247        112          0    repeat-3
    1392     random    0.60106    0.00000        416        122          0    repeat-1
    1431     random    0.60106    0.00000        314        114          0    repeat-1
      85     random    0.98707    0.00000        422        162          0    good-8
    4147     random    0.00000    0.00000        585        226          0    Not Connected
     947     random    1.51266    0.00000        248        112          0    good-9
     452     random    0.61957    0.00000        522        112          0    good-10
    4540     random    1.78686    0.00000       1033        233          0    good-11
    4987     random    3.45841    0.00000        322        241          0    barrier > max_thermal_window
     726     random    0.98707    0.00000        367        162          0    repeat-8
    4345     random    0.00000    0.00000        613        251          0    Not Connected
    1829     random    1.99380    0.00000        570        219          0    barrier > max_thermal_window
     231     random    1.51191    0.00000        234        110          0    good-12
    2970     random    0.60106    0.00000        361        119          0    good-13
    1463     random    0.00000    0.00000       1452        118          0    Not Connected
    3978     random    2.10164    0.00000        573        213          0    barrier > max_thermal_window
    3739     random    1.51191    0.00000        357        141          0    repeat-12
    1847     random    0.60106    0.00000        310        124          0    repeat-13
    4673     random    0.00000    0.00000        977        137          0    Not Connected
    1987     random    0.61957    0.00000        371        117          0    repeat-10
    2175     random    0.00000    0.00000        711        146          0    Not Connected
    3947     random    0.61954    0.00000        355        104          0    repeat-10
    2775     random    0.61957    0.00000        813        116          0    repeat-10
    1429     random    0.00000    0.00000        777        177          0    Not Connected
    3308     random    0.00000    0.00000        594        133          0    Not Connected
    2103     random    0.00000    0.00000       1087         96          0    Not Connected
    4676     random    2.10126    0.00000        575        200          0    barrier > max_thermal_window
      74     random    0.60108    0.00000        494        127          0    repeat-1
    4084     random    2.10617    0.00000        476        192          0    barrier > max_thermal_window
    1249     random    2.10126    0.00000        758        228          0    barrier > max_thermal_window
    2788     random    4.24926    0.00000        472        127          0    barrier > max_thermal_window
    1697     random    0.60108    0.00000        607        114          0    repeat-13
    3454     random    3.44371    0.00000        251        469          0    barrier > max_thermal_window
    4964     random    0.98707    0.00000        354        168          0    repeat-8
     775     random    0.00000    0.00000      10351          1          0    Saddle Search Terminated Total Iterations
    4755     random    0.98707    0.00000        360        160          0    repeat-5
    4255     random    3.44368    0.00000        316        489          0    barrier > max_thermal_window
    4610     random    0.00000    0.00000       1279        318          0    Not Connected
    4632     random    3.44301    0.00000        270        441          0    barrier > max_thermal_window
    3637     random    0.98880    0.00000        369        164          0    repeat-4
    4804     random    4.20361    0.00000        239        129          0    barrier > max_thermal_window
    3694     random    2.10164    0.00000        480        199          0    barrier > max_thermal_window
    4757     random    0.60108    0.00000        397        125          0    repeat-1
    1908     random    0.00000    0.00000        436        124          0    Not Connected
     251     random    0.60106    0.00000        417        127          0    repeat-13
     766     random    0.60107    0.00000        420        125          0    repeat-1
    1189     random    2.10164    0.00000        648        196          0    barrier > max_thermal_window
    1560     random    3.41210    0.00000        540        442          0    barrier > max_thermal_window
    2507     random    1.97791    0.00000        810        211          0    barrier > max_thermal_window
    2953     random    1.51281    0.00000        260        146          0    repeat-3
    3464     random    1.19647    0.00000        724        177          0    repeat-2
    4038     random    0.00000    0.00000        767        682          0    Not Connected
    1248     random    2.17857    0.00000        461        163          0    barrier > max_thermal_window
     431     random    0.60107    0.00000        417        125          0    repeat-1
    1717     random    0.00000    0.00000        581        176          0    Not Connected
    2312     random    0.98708    0.00000        384        162          0    repeat-8
    3742     random    0.00000    0.00000       1110        304          0    Not Connected
     907     random    0.00000    0.00000        425        170          0    Not Connected
    1993     random    0.60106    0.00000        420        127          0    repeat-1
    3789     random    1.51191    0.00000        239        142          0    good-14
    2899     random    2.10126    0.00000       1004        210          0    barrier > max_thermal_window
    1755     random    0.60106    0.00000        422        127          0    repeat-1
    1649     random    0.60106    0.00000        349        127          0    repeat-13
    2502     random    0.00000    0.00000       2906        288          0    Not Connected
    1425     random    0.98563    0.00000        313        156          0    repeat-0
