    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.00000    0.00000        889        172          0    Not Connected
    2428     random    0.00000    0.00000        297        126          0    Not Connected
     130     random    0.00000    0.00000        622        226          0    Not Connected
    2798     random    0.98708    0.00000        243        155          0    good-0
     634     random    0.98708    0.00000        263        153          0    good-1
    2252     random    0.00000    0.00000        850        161          0    Not Connected
     327     random    0.00000    0.00000       2054        117          0    Not Connected
    1007     random    2.10164    0.00000        439        205          0    good-2
     539     random    1.84620    0.00000        308        190          0    good-3
    1203     random    2.10164    0.00000        327        195          0    good-4
    1392     random    1.20702    0.00000        303        176          0    good-5
    1431     random    0.00000    0.00000        374         98          0    Not Connected
      85     random    0.00000    0.00000        524        195          0    Not Connected
     947     random    2.10616    0.00000        357        194          0    good-6
     452     random    3.01094    0.00000        635        169          0    barrier > max_thermal_window
     726     random    0.98708    0.00000        231        140          0    repeat-1
    1829     random    2.10164    0.00000        659        217          0    repeat-2
     231     random    2.10164    0.00000        356        198          0    repeat-2
    2970     random    2.10164    0.00000        383        205          0    repeat-4
    1463     random    3.45931    0.00000        257        201          0    barrier > max_thermal_window
    1847     random    3.45841    0.00000        238        250          0    barrier > max_thermal_window
    1987     random    3.01352    0.00000        272        180          0    barrier > max_thermal_window
    2175     random    4.20341    0.00000        374        128          0    barrier > max_thermal_window
    2775     random    0.00000    0.00000        458        132          0    Not Connected
    1429     random    3.45931    0.00000        236        246          0    barrier > max_thermal_window
    2103     random    0.00000    0.00000        343        185          0    Not Connected
      74     random    3.69955    0.00000        309        256          0    barrier > max_thermal_window
    1249     random    0.98563    0.00000        236        154          0    good-7
    2788     random    0.00000    0.00000       5383       1297          0    Not Connected
    1697     random    0.98707    0.00000        232        144          0    repeat-0
     775     random    0.00000    0.00000       7308       1688          0    Not Connected
    1908     random    3.01243    0.00000       1145        162          0    barrier > max_thermal_window
     251     random    0.00000    0.00000       1271        313          0    Not Connected
     766     random    0.98563    0.00000        220        144          0    good-8
    1189     random    0.00000    0.00000        469        155          0    Not Connected
    1560     random    0.00000    0.00000       5490       1588          0    Not Connected
    2507     random    0.00000    0.00000        655        294          0    Not Connected
    2953     random    0.00000    0.00000        596        305          0    Not Connected
    1248     random    2.10164    0.00000        333        205          0    repeat-4
     431     random    0.00000    0.00000        798        115          0    Not Connected
    1717     random    0.60107    0.00000        395        112          0    good-9
    2312     random    3.01242    0.00000        426        167          0    barrier > max_thermal_window
     907     random    0.00000    0.00000        975        231          0    Not Connected
    1993     random    1.86031    0.00000        373        157          0    barrier > max_thermal_window
    2899     random    0.00000    0.00000        774        217          0    Not Connected
    1755     random    0.60106    0.00000        235        126          0    good-10
    1649     random    0.00000    0.00000        742        253          0    Not Connected
    2502     random    0.98880    0.00000        222        145          0    good-11
    1425     random    0.98707    0.00000        243        144          0    repeat-0
    1088     random    2.10616    0.00000        308        216          0    barrier > max_thermal_window
    2765     random    0.60106    0.00000        319        123          0    repeat-9
    2121     random    0.00000    0.00000        385        149          0    Not Connected
    2044     random    1.51266    0.00000        194        148          0    good-12
    1303     random    0.98563    0.00000        303        154          0    repeat-8
     685     random    1.84620    0.00000        338        185          0    barrier > max_thermal_window
     322     random    1.61547    0.00000        348        136          0    good-13
    1672     random    4.21469    0.00000        296        131          0    barrier > max_thermal_window
     694     random    5.82542    0.00000       6174       1496          0    barrier > max_thermal_window
    2413     random    0.60106    0.00000        266        114          0    repeat-10
      67     random    3.69957    0.00000        271        246          0    barrier > max_thermal_window
    2527     random    0.00000    0.00000       4561       1425          0    Not Connected
    1269     random    0.00000    0.00000        564        152          0    Not Connected
    1366     random    0.60106    0.00000        258        123          0    repeat-10
    2431     random    1.51266    0.00000        199        147          0    good-14
     638     random    0.00000    0.00000        573        195          0    Not Connected
    1413     random    0.00000    0.00000       1039        245          0    Not Connected
    2677     random    2.10126    0.00000        377        187          0    barrier > max_thermal_window
     879     random    2.10164    0.00000        344        193          0    barrier > max_thermal_window
     840     random    0.98708    0.00000        392        153          0    repeat-0
     459     random    3.44371    0.00000        324        423          0    barrier > max_thermal_window
    2069     random    0.98880    0.00000        258        152          0    good-15
    1383     random    1.51281    0.00000        251        123          0    good-16
    1890     random    2.10616    0.00000        328        198          0    barrier > max_thermal_window
     898     random    0.00000    0.00000       1095        142          0    Not Connected
    1172     random    0.61956    0.00000        540        112          0    good-17
    1049     random    4.20361    0.00000        204        127          0    barrier > max_thermal_window
     968     random    0.00000    0.00000        597        109          0    Not Connected
     365     random    1.48054    0.00000        261        135          0    good-18
     695     random    0.60106    0.00000        300        114          0    repeat-9
    2880     random    4.21469    0.00000        263        129          0    barrier > max_thermal_window
      92     random    0.00000    0.00000        623        162          0    Not Connected
    2466     random    0.60106    0.00000        253        109          0    repeat-10
    2958     random    0.00000    0.00000        685        178          0    Not Connected
     733     random    0.00000    0.00000        743        519          0    Not Connected
    2665     random    0.00000    0.00000        752        310          0    Not Connected
    1524     random    3.69980    0.00000        271        253          0    barrier > max_thermal_window
    2072     random    1.51191    0.00000        190        102          0    good-19
    1590     random    0.00000    0.00000        274        113          0    Not Connected
     253     random    4.21469    0.00000        347        127          0    barrier > max_thermal_window
    2251     random    3.69957    0.00000        248        249          0    barrier > max_thermal_window
     524     random    0.00000    0.00000        408        194          0    Not Connected
      30     random    0.00000    0.00000        439        159          0    Not Connected
    1417     random    2.10616    0.00000        293        204          0    barrier > max_thermal_window
    2667     random    1.51191    0.00000        201        109          0    repeat-19
     761     random    0.60106    0.00000        238        104          0    repeat-10
    2326     random    1.61547    0.00000        327        137          0    repeat-13
     451     random    0.00000    0.00000        349        158          0    Not Connected
    2547     random    0.00000    0.00000       4960         98          0    Not Connected
    1544     random    2.14775    0.00000        692        283          0    barrier > max_thermal_window
    1720     random    0.00000    0.00000        472        152          0    Not Connected
    2317     random    6.70509    0.00000        303        171          0    barrier > max_thermal_window
     392     random    0.00000    0.00000       1127        115          0    Not Connected
    1170     random    0.00000    0.00000        636        217          0    Not Connected
    1105     random    0.00000    0.00000        389        118          0    Not Connected
    2858     random    0.00000    0.00000       1592        438          0    Not Connected
     965     random    2.10164    0.00000        445        209          0    barrier > max_thermal_window
     197     random    2.10126    0.00000        349        185          0    barrier > max_thermal_window
     611     random    3.41210    0.00000        345        448          0    barrier > max_thermal_window
     470     random    5.25122    0.00000        422        274          0    barrier > max_thermal_window
    2532     random    0.98708    0.00000        226        145          0    repeat-1
    1862     random    0.00000    0.00000       1140        287          0    Not Connected
     145     random    0.00000    0.00000        402        169          0    Not Connected
    1527     random    0.00000    0.00000        590        170          0    Not Connected
    1113     random    0.00000    0.00000        914        286          0    Not Connected
    2837     random    0.00000    0.00000        407        245          0    Not Connected
    2268     random    5.25120    0.00000        487        266          0    barrier > max_thermal_window
    1361     random    0.00000    0.00000        389        441          0    Not Connected
    2678     random    1.87556    0.00000        248        153          0    barrier > max_thermal_window
     945     random    0.00000    0.00000        462        169          0    Not Connected
    2157     random    3.45874    0.00000        228        266          0    barrier > max_thermal_window
     660     random    0.00000    0.00000        298        141          0    Not Connected
    2344     random    2.10616    0.00000        261        202          0    barrier > max_thermal_window
    2127     random    0.60107    0.00000        451        110          0    repeat-10
     138     random    2.10616    0.00000        379        201          0    barrier > max_thermal_window
     179     random    1.48296    0.00000        534        109          0    good-20
     509     random    0.00000    0.00000        973        142          0    Not Connected
    1728     random    2.10616    0.00000        385        191          0    barrier > max_thermal_window
    1984     random    0.00000    0.00000        622        192          0    Not Connected
    2870     random    0.00000    0.00000        610        176          0    Not Connected
      25     random    7.44754    0.00000        264        281          0    barrier > max_thermal_window
    1609     random    0.61957    0.00000        738        123          0    repeat-17
    1631     random    0.60106    0.00000        419        112          0    repeat-10
     498     random    3.69957    0.00000        231        255          0    barrier > max_thermal_window
    1776     random    0.98708    0.00000        236        148          0    repeat-1
    2624     random    6.45781    0.00000        400        148          0    barrier > max_thermal_window
     192     random    0.00000    0.00000       5064       1496          0    Not Connected
    1867     random    0.61957    0.00000        579        125          0    repeat-17
     614     random    0.00000    0.00000       6913       2077          0    Not Connected
    2544     random    0.00000    0.00000        309        299          0    Not Connected
     161     random    0.60106    0.00000        233         99          0    repeat-10
     184     random    0.00000    0.00000        208        219          0    Not Connected
    1238     random    0.00000    0.00000       4860       1455          0    Not Connected
     422     random    0.98707    0.00000        227        161          0    repeat-0
    1054     random    0.00000    0.00000        422         96          0    Not Connected
     774     random    0.00000    0.00000        530        271          0    Not Connected
    2458     random    0.00000    0.00000        406        340          0    Not Connected
    2193     random    0.60106    0.00000        262        112          0    repeat-10
     195     random    1.51191    0.00000        198        110          0    good-21
    1959     random    0.00000    0.00000       5435       1271          0    Not Connected
      90     random    3.72653    0.00000       1134        144          0    barrier > max_thermal_window
     437     random    0.00000    0.00000        334        269          0    Not Connected
    2161     random    0.00000    0.00000        670        265          0    Not Connected
     900     random    0.98708    0.00000        217        179          0    repeat-1
     518     random    1.51266    0.00000        243        157          0    repeat-12
    1788     random    0.00000    0.00000       8247       1916          0    Not Connected
     709     random    0.00000    0.00000        701        500          0    Not Connected
    1932     random    2.10616    0.00000        399        195          0    barrier > max_thermal_window
    1378     random    0.00000    0.00000       5140       1183          0    Not Connected
    2310     random    0.61955    0.00000        279        120          0    repeat-17
     209     random    0.00000    0.00000        441        154          0    Not Connected
      87     random    0.00000    0.00000        359        151          0    Not Connected
    2947     random    0.00000    0.00000        347        159          0    Not Connected
    2207     random    0.00000    0.00000       4758       1474          0    Not Connected
     661     random    0.00000    0.00000       4756       1314          0    Not Connected
    1944     random    0.61957    0.00000        448        112          0    repeat-17
    1552     random    0.00000    0.00000        685        247          0    Not Connected
