    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
   11874     random    0.00000    0.00000        938        250          0    Not Connected
     220     random    1.51191    0.00000        302        154          0    good-0
    4580     random    0.00000    0.00000        912        200          0    Not Connected
    3860     random    5.22834    0.00000        395        289          0    barrier > max_thermal_window
   12071     random    3.41051    0.00000        520        260          0    barrier > max_thermal_window
    6774     random    3.45874    0.00000        384        241          0    barrier > max_thermal_window
    2428     random    3.44301    0.00000        411        264          0    barrier > max_thermal_window
   12654     random    2.10616    0.00000        590        173          0    good-1
     130     random    0.61955    0.00000        408        138          0    good-2
    9567     random    0.00000    0.00000        612        208          0    Not Connected
    7650     random    1.49349    0.00000        502        211          0    good-3
    5567     random    1.51191    0.00000        305        156          0    good-4
    2798     random    1.51191    0.00000        296        154          0    repeat-4
   13991     random    0.98880    0.00000        444        186          0    good-5
   12538     random    2.10164    0.00000        548        164          0    barrier > max_thermal_window
   13106     random    0.00000    0.00000        952        203          0    Not Connected
    4203     random    0.98708    0.00000        471        186          0    good-6
   14522     random    1.98029    0.00000        654        265          0    barrier > max_thermal_window
    5476     random    0.00000    0.00000        629        211          0    Not Connected
    3677     random    0.98880    0.00000        403        189          0    repeat-5
   11102     random    0.98708    0.00000        434        185          0    good-7
    4736     random    3.45841    0.00000        368        239          0    barrier > max_thermal_window
    6406     random    1.51191    0.00000        350        154          0    repeat-0
   10026     random    3.45874    0.00000        698        241          0    barrier > max_thermal_window
   11446     random    0.98708    0.00000        379        179          0    repeat-7
   10209     random    1.51281    0.00000        311        159          0    good-8
   14040     random    0.00000    0.00000        698        185          0    Not Connected
    5547     random    0.00000    0.00000        708        220          0    Not Connected
   12403     random    0.98880    0.00000        566        184          0    good-9
   11884     random    0.00000    0.00000        773        181          0    Not Connected
    4102     random    1.78819    0.00000        414        266          0    good-10
    7919     random    0.61955    0.00000        818        135          0    repeat-2
    8991     random    0.60106    0.00000        467        141          0    good-11
   10543     random    0.00000    0.00000       1279        149          0    Not Connected
    6057     random    0.98563    0.00000        755        181          0    good-12
    6460     random    0.60106    0.00000        454        145          0    repeat-11
     634     random    0.00000    0.00000        888        215          0    Not Connected
   14254     random    3.45841    0.00000        417        237          0    barrier > max_thermal_window
   12232     random    0.00000    0.00000       1202        234          0    Not Connected
   14499     random    0.00000    0.00000       1379        239          0    Not Connected
    8702     random    0.61955    0.00000        402        141          0    repeat-2
   12713     random    0.00000    0.00000        851        156          0    Not Connected
    7928     random    0.60106    0.00000        398        146          0    good-13
    8131     random    0.98880    0.00000        362        188          0    repeat-5
    2252     random    0.60106    0.00000        499        145          0    repeat-13
    9828     random    2.10616    0.00000        605        172          0    barrier > max_thermal_window
    5373     random    1.51266    0.00000        341        159          0    good-14
    9871     random    0.98708    0.00000        427        187          0    repeat-7
    6010     random    2.10126    0.00000        618        175          0    barrier > max_thermal_window
   14930     random    3.44301    0.00000        341        264          0    barrier > max_thermal_window
   12633     random    2.10126    0.00000        690        174          0    barrier > max_thermal_window
     327     random    2.10616    0.00000        597        175          0    barrier > max_thermal_window
   14884     random    3.45841    0.00000        425        237          0    barrier > max_thermal_window
   13477     random    1.98029    0.00000       1879        265          0    barrier > max_thermal_window
   14594     random    1.61448    0.00000        580        208          0    good-15
    1007     random    2.10126    0.00000        767        170          0    barrier > max_thermal_window
    5731     random    1.97791    0.00000       1859        259          0    barrier > max_thermal_window
    8239     random    0.61954    0.00000        481        138          0    repeat-2
   10328     random    0.98708    0.00000        686        185          0    repeat-7
   14022     random    2.10164    0.00000        560        179          0    barrier > max_thermal_window
   13592     random    2.10164    0.00000        881        164          0    barrier > max_thermal_window
    8362     random    0.61955    0.00000        526        138          0    repeat-2
   13455     random    0.00000    0.00000       1576        238          0    Not Connected
    8722     random    1.86032    0.00000       1383        216          0    barrier > max_thermal_window
    3846     random    0.98707    0.00000        542        185          0    repeat-6
     539     random    0.60106    0.00000        755        149          0    repeat-11
    4646     random    1.20702    0.00000        620        221          0    good-16
    1203     random    0.00000    0.00000       1317        201          0    Not Connected
   11883     random    0.00000    0.00000       1319        226          0    Not Connected
    8449     random    0.98880    0.00000        387        191          0    repeat-5
    6579     random    0.00000    0.00000        414        209          0    Not Connected
    9476     random    0.98563    0.00000        402        183          0    good-17
