    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
     220     random    0.60108    1.18405       3517        196          0    good-0
     130     random    0.98707    1.26957       2785        238          0    good-1
     327     random    0.98879    1.40872       3537        255          0    good-2
      85     random    2.10616    1.25266       6397        281          0    barrier > max_thermal_window
     452     random    0.98563    1.32475       1198        250          0    good-3
     231     random    1.19647    1.54446       5303        258          0    good-4
      74     random    0.98879    1.44500       1093        259          0    repeat-2
     251     random    8.43469    1.24242      30001        251          0    barrier > max_thermal_window
     431     random    0.61954    1.38251       2077        199          0    good-5
     322     random    0.98879    1.51868       4297        260          0    good-6
      67     random    3.44301    1.34939       3997        554          0    barrier > max_thermal_window
     459     random    3.44370    1.45985       5018        349          0    barrier > max_thermal_window
     365     random    1.48056    1.41704       3354        238          0    good-7
      92     random    0.61954    1.49843       2857        199          0    repeat-5
     253     random    4.21469    1.56524       4104        260          0    barrier > max_thermal_window
      30     random    0.61954    1.45386       5072        199          0    repeat-5
     451     random    0.60108    1.52116       5043        196          0    good-8
     392     random    0.61954    1.29219       9529        200          0    repeat-5
     197     random    1.20702    1.12093       5837        253          0    good-9
     470     random    0.61954    1.28665       8509        199          0    repeat-5
     145     random    0.60108    1.39156       4041        196          0    repeat-8
     138     random    1.19558    1.29100       5878        268          0    good-10
     179     random    0.98879    1.51381       2746        257          0    repeat-6
      25     random    0.60108    1.42583       3352        196          0    repeat-8
     498     random    0.61954    1.54740       4608        213          0    repeat-5
     192     random    0.60108    0.89919       3692        196          0    repeat-8
     161     random    2.18131    1.59331       5176        266          0    barrier > max_thermal_window
     184     random    1.51266    1.08050       4512        255          0    good-11
     422     random    4.19839    1.29382       4831        322          0    barrier > max_thermal_window
     195     random    1.51192    1.58615       1987        237          0    good-12
      90     random    0.61954    1.33217       1960        199          0    repeat-5
     437     random    3.45874    1.30313       5547        316          0    barrier > max_thermal_window
     209     random    3.01353    1.52772       5995        254          0    barrier > max_thermal_window
      87     random    1.51191    1.08625       3053        259          0    good-13
      56     random    1.19558    1.21403       5551        268          0    repeat-10
     299     random    0.60108    1.47203       3093        196          0    repeat-0
     445     random    1.61450    1.30377       6866        225          0    good-14
     348     random    3.41210    1.49151       2286        352          0    barrier > max_thermal_window
     133     random    4.21470    1.57296       5049        263          0    barrier > max_thermal_window
     330     random    0.98707    1.40869       6164        266          0    good-15
     154     random    0.98707    1.46079       3934        247          0    repeat-1
     114     random    1.49328    1.32417       1271        270          0    good-16
     469     random    1.19647    1.39054       5564        258          0    repeat-4
      14     random    1.51191    1.08982       2110        260          0    repeat-12
      82     random    3.69955    1.22302       4042        286          0    barrier > max_thermal_window
     285     random    0.60108    1.19047       3902        196          0    repeat-8
     246     random    1.48297    1.13841       4279        242          0    good-17
     377     random    0.60108    1.46887       2777        196          0    repeat-8
     296     random    1.51191    1.54582       3708        241          0    repeat-13
      53     random    4.20342    1.62071       3502        271          0    barrier > max_thermal_window
     168     random    4.20341    1.56254       3379        288          0    barrier > max_thermal_window
     222     random    0.98707    1.57914       6350        247          0    repeat-1
     143     random    2.10616    1.17201       4626        281          0    barrier > max_thermal_window
     181     random    1.20702    1.71112       5857        253          0    good-18
     447     random    3.44371    1.76004       3492        415          0    barrier > max_thermal_window
     263     random    3.69958    1.57339       3111        294          0    barrier > max_thermal_window
     129     random    1.51267    1.59075       3959        219          0    repeat-11
     440     random    3.41052    1.41107       3092        350          0    barrier > max_thermal_window
     159     random    3.01243    1.03791       4577        253          0    barrier > max_thermal_window
      96     random    1.19558    1.43287       5898        268          0    repeat-10
     137     random    1.61448    1.00453       2754        333          0    repeat-14
     416     random    4.20342    1.18969       2477        272          0    barrier > max_thermal_window
       3     random    1.20702    1.05652       5589        253          0    repeat-18
     276     random    1.48013    1.40102      15950        246          0    good-19
     370     random    0.60108    1.36019       3730        196          0    repeat-8
      47     random    0.60108    0.97891       3877        196          0    repeat-0
       0     random    0.98563    1.47428       5437        248          0    good-20
     490     random    3.44301    1.04361       4868        536          0    barrier > max_thermal_window
     255     random    0.98563    1.30642       3315        245          0    repeat-3
     166     random    4.21469    1.06072       3704        302          0    barrier > max_thermal_window
     442     random    1.51192    1.42506       2148        238          0    repeat-13
     351     random    0.98879    1.28752       5914        257          0    repeat-2
     127     random    3.44301    1.41254       4163        566          0    barrier > max_thermal_window
     188     random    5.23178    1.36737       3363        366          0    barrier > max_thermal_window
     406     random    1.51281    1.65271       2808        254          0    good-21
     229     random    3.45875    1.73412       2158        302          0    barrier > max_thermal_window
     118     random    0.98563    1.40349       3666        245          0    repeat-20
     234     random    0.61955    1.28637       3568        201          0    repeat-5
     272     random    1.19647    1.56387       5513        258          0    good-22
     436     random    0.61954    1.33861       2698        199          0    repeat-5
      38     random    1.48297    1.00137       4490        242          0    good-23
     257     random    1.51266    1.46472       4397        250          0    repeat-11
     302     random    0.60108    1.24528       4304        196          0    repeat-0
     128     random    0.60108    1.12027       4208        196          0    repeat-8
     458     random    3.44370    1.92072       3362        410          0    barrier > max_thermal_window
      63     random    3.45841    1.51756       6623        265          0    barrier > max_thermal_window
     338     random    0.60108    1.71215       1875        196          0    repeat-0
     183     random    0.98563    0.87705       3730        244          0    repeat-3
      83     random    3.45841    1.14084       4132        270          0    barrier > max_thermal_window
     350     random    3.44371    1.21906       3276        396          0    barrier > max_thermal_window
     430     random    0.60108    1.37497       4056        196          0    repeat-0
      43     random    0.61954    1.30536       3863        201          0    repeat-5
      40     random    2.10616    1.52058       7508        281          0    barrier > max_thermal_window
      54     random    1.51192    1.33356       4300        229          0    repeat-12
      93     random    0.98707    1.22197       1641        241          0    repeat-1
     107     random    0.60108    0.88780       2614        196          0    repeat-8
      48     random    0.98563    1.69109       2695        245          0    repeat-3
     454     random    0.60108    1.19527       3431        196          0    repeat-0
     277     random    2.10164    1.20932       4516        268          0    barrier > max_thermal_window
     378     random    3.69955    1.39499       4022        286          0    barrier > max_thermal_window
     259     random    0.60106    1.63300       3720        217          0    repeat-8
     360     random    3.44371    1.44539       3430        407          0    barrier > max_thermal_window
      66     random    0.98563    1.07237       4064        250          0    repeat-3
     448     random    4.24427    1.27671       3496        284          0    barrier > max_thermal_window
     279     random    0.61954    1.54424       4267        200          0    repeat-5
     172     random    1.51282    1.29596       2705        250          0    good-24
     446     random    2.10164    1.62665       3603        267          0    barrier > max_thermal_window
     457     random    1.20702    1.00006       5941        253          0    repeat-18
      61     random    0.60108    1.19626       2709        196          0    repeat-8
     297     random    4.21471    1.00784        737        256          0    barrier > max_thermal_window
     391     random    0.60108    1.46639       2976        196          0    repeat-0
     435     random    2.10126    1.30269       4895        263          0    barrier > max_thermal_window
     354     random    3.44371    1.37739       2131        358          0    barrier > max_thermal_window
     496     random    3.41040    1.27743       6654        566          0    barrier > max_thermal_window
     210     random    2.10616    1.73654       4904        281          0    barrier > max_thermal_window
     290     random    2.10617    1.59789       3476        294          0    barrier > max_thermal_window
     444     random    2.16303    1.47576       4591        279          0    barrier > max_thermal_window
     288     random    0.98563    1.53098       2473        250          0    repeat-3
     325     random    3.44371    1.24458       2918        359          0    barrier > max_thermal_window
     314     random    1.20702    1.36143       5751        253          0    repeat-9
      65     random    1.51191    1.53354       2766        276          0    repeat-13
      52     random    1.20702    1.32289       5483        253          0    repeat-9
     141     random    0.98563    1.53807       3968        264          0    repeat-20
     273     random    0.98563    1.64481       4576        248          0    repeat-20
     101     random    4.21471    1.59904        762        269          0    barrier > max_thermal_window
     380     random    1.19558    1.47311       5618        268          0    repeat-10
     140     random    1.51192    1.12748       1728        244          0    repeat-13
     396     random    0.60108    1.40665       4992        196          0    repeat-0
     428     random    3.44371    1.32927       3027        366          0    barrier > max_thermal_window
     476     random    0.98563    1.10423       4676        263          0    repeat-3
     100     random    1.19558    1.31213       5167        268          0    good-25
     286     random   13.87738    1.51757      30000        283          0    barrier > max_thermal_window
     240     random    0.60108    1.03896       3566        196          0    repeat-0
     110     random    3.69955    1.17338       7453        329          0    barrier > max_thermal_window
     178     random    0.98707    1.21719       5973        247          0    repeat-1
     493     random    3.44367    1.23546       3870        358          0    barrier > max_thermal_window
     239     random    1.20702    1.40584       6992        253          0    repeat-9
     151     random    3.21462    1.21319       4695        285          0    barrier > max_thermal_window
     413     random    0.60108    0.92176       4604        196          0    repeat-0
     301     random    0.98879    1.05323       3649        257          0    repeat-6
      18     random   10.15142    1.28718      30000        272          0    barrier > max_thermal_window
     326     random    0.61954    1.49491       6288        199          0    repeat-5
     293     random    0.98879    1.56192       3892        257          0    repeat-2
     341     random    0.60108    1.32530       3079        196          0    repeat-8
     409     random    0.60108    1.48151       3697        196          0    repeat-0
     169     random    4.21470    1.15891        668        256          0    barrier > max_thermal_window
     270     random    4.21470    1.64087       3350        263          0    barrier > max_thermal_window
     390     random    0.60108    1.12492       3816        196          0    repeat-0
     298     random    0.60108    1.22439       5010        196          0    repeat-0
     461     random    0.98879    1.08091       5902        257          0    repeat-2
     412     random    1.51282    1.09975       3430        221          0    repeat-24
      31     random    1.51191    1.23679       2554        270          0    repeat-12
     450     random    0.61954    1.37762       5476        199          0    repeat-5
     238     random    1.48297    1.52369       4658        242          0    repeat-23
     163     random    0.98880    1.24730       3269        249          0    repeat-2
     472     random    2.10616    1.04015       7837        281          0    barrier > max_thermal_window
     109     random    1.51281    1.55482       5076        249          0    repeat-24
     165     random    0.98879    0.91421       6757        257          0    repeat-2
     393     random    0.60108    1.69363       3506        196          0    repeat-8
     230     random    0.98707    1.49220       4382        255          0    repeat-1
     429     random    0.61955    1.31602       4255        201          0    repeat-5
     131     random    1.19647    1.48293       5470        258          0    repeat-22
      76     random    3.44371    1.65619       2421        342          0    barrier > max_thermal_window
     441     random    0.98707    1.41268       1639        241          0    repeat-15
     404     random    0.60108    1.69074       4037        196          0    repeat-8
     487     random    0.60108    1.15282       4131        196          0    repeat-8
     113     random    0.60108    0.95130       3499        196          0    repeat-0
     433     random    0.60108    1.10300       1804        196          0    repeat-8
     443     random    0.98707    1.51791       5406        264          0    repeat-1
      37     random    0.98879    1.43908       2984        255          0    repeat-6
