#nfev success eval eval_exact overlap rms
65 1 -7.098961 -7.341689 0.992322 0.870428
83 1 -13.251904 -13.808103 0.992533 1.962931
97 1 -6.147358 -6.299639 0.992204 0.554614
61 1 -10.727442 -10.998011 0.990062 0.741446
55 1 -10.737905 -11.199712 0.993993 2.101194
57 1 -8.498656 -8.881600 0.990995 0.904481
71 1 -13.349982 -13.725952 0.992109 0.976066
73 1 -17.417266 -17.784666 0.994644 1.132679
65 1 -14.525448 -14.958102 0.993028 1.065088
69 1 -11.216079 -11.640202 0.991821 1.005237
85 1 -1.746664 -1.841692 0.993723 0.363214
111 1 -5.322837 -5.510825 0.990785 0.482930
71 1 -11.169098 -11.696491 0.991081 1.318150
73 1 -5.729817 -5.941092 0.991372 0.508345
95 1 -9.274044 -9.507686 0.990140 0.630434
57 1 -12.607669 -13.067615 0.992267 0.893594
65 1 -10.668451 -10.884766 0.992230 0.818377
87 1 -8.398566 -8.553887 0.994041 0.529016
49 1 -15.642180 -16.092085 0.995027 1.200125
99 1 -4.521623 -4.631783 0.990917 0.335828
125 1 -4.830212 -4.964889 0.993156 0.622486
81 1 -7.041841 -7.346578 0.992696 1.080831
69 1 -9.894083 -10.322254 0.991168 1.131413
67 1 -15.254775 -15.522800 0.996152 0.723959
53 1 -8.456591 -8.745139 0.990509 0.604373
91 1 -2.881430 -3.236839 0.992007 0.649221
85 1 -5.920694 -6.213119 0.990517 1.046477
51 1 -11.381164 -11.632351 0.992650 0.792536
61 1 -15.450760 -16.064945 0.992565 1.634312
65 1 -11.894156 -12.458348 0.992017 1.967619
75 1 -5.611165 -5.865222 0.993407 1.623013
89 1 -6.609404 -6.745813 0.994891 0.726181
67 1 -8.588421 -9.036874 0.990309 0.899727
169 1 -4.808697 -4.941700 0.994755 0.742586
95 1 -11.137101 -11.618189 0.993038 0.964892
93 1 -11.343687 -11.571065 0.995383 0.687971
63 1 -12.975963 -13.355975 0.993321 0.937325
53 1 -10.712392 -11.326050 0.993949 2.553392
91 1 -7.233665 -7.389012 0.992087 0.425007
