 FileName        Epoch        Training Energy RMSE         Training Force RMSE        Converge
optimizer_type_Rprop_model/40      254.000000       0.006949       0.658436       0.000000       
optimizer_type_Rprop_model/30      331.000000       0.004654       0.570771       0.000000       
optimizer_type_Rprop_model/12      208.000000       0.005260       0.616771       0.000000       
optimizer_type_Rprop_model/42      98.000000       0.004074       0.433656       0.000000       
optimizer_type_Rprop_model/8      219.000000       0.004207       0.364587       0.000000       
optimizer_type_Rprop_model/20      321.000000       0.003159       0.376868       0.000000       
optimizer_type_Rprop_model/21      83.000000       0.004407       0.499015       0.000000       
optimizer_type_Rprop_model/17      43.000000       0.006195       0.584215       0.000000       
optimizer_type_Rprop_model/13      295.000000       0.003434       0.464212       0.000000       
optimizer_type_Rprop_model/36      71.000000       0.003660       0.401254       0.000000       
optimizer_type_Rprop_model/7      265.000000       0.004975       0.508826       0.000000       
optimizer_type_Rprop_model/19      202.000000       0.003585       0.372484       0.000000       
optimizer_type_Rprop_model/27      191.000000       0.002875       0.303045       0.000000       
optimizer_type_Rprop_model/11      241.000000       0.004596       0.455928       0.000000       
optimizer_type_Rprop_model/10      40.000000       0.004523       0.491727       0.000000       
optimizer_type_Rprop_model/39      63.000000       0.003210       0.335470       0.000000       
optimizer_type_Rprop_model/31      384.000000       0.005432       0.758701       0.000000       
optimizer_type_Rprop_model/32      133.000000       0.003538       0.458078       0.000000       
optimizer_type_Rprop_model/41      163.000000       0.004413       0.487389       0.000000       
optimizer_type_Rprop_model/23      224.000000       0.004207       0.478583       0.000000       
optimizer_type_Rprop_model/14      256.000000       0.005763       0.630816       0.000000       
optimizer_type_Rprop_model/16      99.000000       0.004577       0.536820       0.000000       
optimizer_type_Rprop_model/22      93.000000       0.003855       0.368583       0.000000       
optimizer_type_Rprop_model/33      87.000000       0.004161       0.445413       0.000000       
optimizer_type_Rprop_model/9      335.000000       0.003794       0.506027       0.000000       
optimizer_type_Rprop_model/3      144.000000       0.003142       0.331025       0.000000       
optimizer_type_Rprop_model/4      319.000000       0.005213       0.509023       0.000000       
optimizer_type_Rprop_model/46      119.000000       0.003882       0.386173       0.000000       
optimizer_type_Rprop_model/48      173.000000       0.003312       0.354931       0.000000       
optimizer_type_Rprop_model/34      119.000000       0.003798       0.425563       0.000000       
optimizer_type_Rprop_model/35      469.000000       0.003884       0.484149       0.000000       
optimizer_type_Rprop_model/15      125.000000       0.005078       0.509078       0.000000       
optimizer_type_Rprop_model/28      243.000000       0.005575       0.606055       0.000000       
optimizer_type_Rprop_model/37      356.000000       0.005154       0.868188       0.000000       
optimizer_type_Rprop_model/49      127.000000       0.003877       0.369673       0.000000       
optimizer_type_Rprop_model/1      239.000000       0.004030       0.328095       0.000000       
optimizer_type_Rprop_model/26      106.000000       0.004721       0.496528       0.000000       
optimizer_type_Rprop_model/47      88.000000       0.004617       0.513054       0.000000       
optimizer_type_Rprop_model/2      200.000000       0.004786       0.439437       0.000000       
optimizer_type_Rprop_model/43      347.000000       0.005102       0.550113       0.000000       
optimizer_type_Rprop_model/5      142.000000       0.005288       0.468111       0.000000       
optimizer_type_Rprop_model/0      355.000000       0.004120       0.410118       0.000000       
optimizer_type_Rprop_model/6      460.000000       0.004861       0.502253       0.000000       
optimizer_type_Rprop_model/25      139.000000       0.004588       0.468676       0.000000       
optimizer_type_Rprop_model/38      112.000000       0.003517       0.437845       0.000000       
optimizer_type_Rprop_model/29      156.000000       0.003417       0.342176       0.000000       
optimizer_type_Rprop_model/24      370.000000       0.002894       0.334640       0.000000       
optimizer_type_Rprop_model/44      245.000000       0.004967       0.465070       0.000000       
optimizer_type_Rprop_model/45      91.000000       0.004596       0.478867       0.000000       
optimizer_type_Rprop_model/18      132.000000       0.003816       0.406880       0.000000       

Optimizer Wise Results: Avg_Epoch  Avg_Final_U_RMSE   Avg_Final_F_RMSE
-------------------------------------- 
optimizer_type_Rprop: 201.5, 0.004354731200000001, 0.47186790779999993 
Times optimizer reached max epoch: 0 
-------------------------------------- 
